authorId,name,paperCount,citationCount,hIndex
3446511,P. Flory,410,64780,105
40064348,T. Plank,260,17123,55
6224411,C. Langmuir,270,24305,71
4627741,M. Behrenfeld,236,20153,64
2581913,P. Falkowski,473,61748,125
143830157,R. Amit,81,36296,44
3376539,C. Zott,58,19559,23
51457315,K. Nomura,234,21724,57
48672556,H. Ohta,503,21054,56
2070456532,A. Takagi,11,6847,8
5239035,T. Kamiya,538,31713,79
50604178,M. Hirano,572,37784,77
9236263,H. Hosono,1629,73821,115
2065893675,Neil Garrett,29,1180,11
5887180,Stephanie C. Lazzaro,16,798,10
1796908,D. Ariely,355,36726,88
5586879,T. Sharot,97,6632,37
6354941,S. Hsiang,119,11524,35
2921335,R. Kopp,300,11701,61
13268012,A. Jina,43,1710,10
47722560,J. Rising,61,1244,15
34579376,M. Delgado,28,1411,9
34707729,Shashank Mohan,27,962,6
144433967,D. Rasmussen,52,2063,16
1398737341,R. Muir-Wood,57,6570,19
145955552,P. Wilson,85,2357,25
143668890,M. Oppenheimer,90,8989,37
48619515,K. Larsen,23,769,4
47907839,T. Houser,48,1695,13
5189903,D. N. Munns,66,4511,29
98100955,P. Sánchez,155,16249,55
2140011,N. Pedersen,303,19854,78
4977720,Ashley S. Pooch,2,39,1
2128092644,Hongwei Liu,147,3063,27
1387962043,R. Carhart-Harris,209,13125,55
6839397,M. Bolstridge,30,3336,16
145888190,J. Rucker,75,2288,17
1396788753,C. Day,7,1461,5
49466961,D. Erritzoe,58,4335,26
4964980,M. Kaelen,53,4264,25
144914875,M. Bloomfield,107,4974,28
1394451455,J. Rickard,6,1169,5
2070265248,B. Forbes,4,1119,3
4898474,A. Feilding,85,6876,36
49843251,David Taylor,242,7853,44
145853531,S. Pilling,290,12472,56
47469728,V. Curran,32,1533,9
2067568836,D. Nutt,38,2067,16
49306116,C. Kittel,164,40329,50
48468338,Shona L. Brown,13,10040,5
2115082,K. Eisenhardt,153,134628,71
46934431,Kuan Tan,3,43,2
34755506,J. Rand,186,2798,30
33207219,J. Morton,215,3658,33
144482994,Charles Taylor,165,25916,40
47282964,H. Kaplan,272,17615,65
120589916,Randall C. Thompson,195,5236,27
4515146,B. Trumble,112,2327,27
1931319000,L. Wann,41,946,10
34994109,A. Allam,84,1725,17
5605166,B. Beheim,72,1201,18
31616965,B. Frohlich,63,1591,20
46930813,M. L. Sutherland,46,1401,15
46387222,J. D. Sutherland,36,937,12
5945716,J. Stieglitz,121,2610,31
39716712,D. Rodriguez,16,466,5
38869155,D. Michalik,59,872,14
51102313,C. Rowan,33,310,6
12449427,Guido P. Lombardi,25,728,10
144642789,R. Bedi,318,6458,47
34900897,Angela R García,30,362,6
2835695,J. Min,889,34947,91
48457823,J. Narula,737,33107,78
1963184,C. Finch,689,46840,102
3336433,M. Gurven,344,18515,64
145218078,G. Thomas,184,3470,24
2279453,J. Boeke,502,52794,106
145892667,G. Church,696,112343,169
39867775,A. Hessel,5,324,2
40125170,Nancy J. Kelley,3,152,1
