paperId,referenceCount,citationCount,authorsCount,occupiedJournalPages,authors_sum_paperCount,authors_sum_citationCount,authors_sum_hIndex,altmetric_score,influentialCitationCount
c5d7b0fafdd72f57f2b0bfdd0ce3608a2528b666,0,14055,1,0,410,64780,105,0,302
eaa7d6df21e3a097ab902e19ff2f2905aafb7ab3,174,2802,2,0,530,41428,126,3,332
79b4b48c6481becde78bd6287386d6507dac27b1,107,2477,2,0,709,81901,189,29,319
e87c3be7aaa1c7ce91f94fda0815339ac02af787,103,5112,2,0,139,55855,67,26,554
d224a1027b47cece2982c400162e053192423b1b,41,5737,6,0,3487,192943,392,43,92
9168051599c3e536307cf476f3c0dd2b5a5d0199,55,101,4,0,497,45336,146,3312,4
1e4c7aaa24d800addcb67daef9119027fcd5a6cc,67,534,12,0,933,50995,250,3541,23
b2406cc0373f521897a046108a48c21e7c08f9ca,9,1618,2,0,221,20760,84,0,130
6d4533bf438fd33ef692ee0e34cd8430ed478b7c,0,0,3,0,452,22956,106,2103,0
006d3597cc21e0200eb70aab18a11379644d48b8,32,710,14,0,1236,66872,341,3011,52
47552b2aa5f1137bc46b01daa91b9175837cc380,0,21923,1,0,164,40329,50,3,772
ede81710759ae46afd4634bc847e4c01adeb000c,48,4272,2,0,166,144668,76,3,242
2fadc276a5aec2c417337f6bf29c976bddd2f03f,59,37,3,0,404,6499,65,0,5
59711cdc12249347d94ce81b4168c1363b0bf994,0,1305,1,0,165,25916,40,3,44
52965900e397d4dbc08ac865444c2eab1bd7fa01,41,221,21,0,4366,181664,689,2740,14
83dd8afc5a3008d5b0c67c97774acb4cd72e0397,22,152,25,0,4125,462129,1081,1868,2
fd806183385b93a8203b1d21d52ea805f419168d,40,665,24,0,6335,399956,1159,2778,14
97efee042acc9673a81e6fa106f3680d4a03852c,99,74,5,0,640,21356,138,1,2
58aae2c2c9b059124f7168af4611059d6c4fa224,33,6317,4,0,1422,190582,290,13,35
931c9275690380cf41e1b9dfcc2f6694142ba00c,215,1005,11,0,2235,234325,508,1882,29
ea77a4ba7d6cab863de3e8c5e11fcfc850d51c02,0,7960,1,0,92,11817,23,0,314
a6462e546ad432ddbe3e7d9e5854f029204f57e6,164,4262,2,0,144,28519,66,77,522
16d6625eba1f3061b3118e06dd068f77753dfb03,33,365,12,0,595,30180,172,1657,17
cb37504984b212ab8a5ff2fd9e5d3bf81acf37c9,39,409,2,0,106,9182,44,1646,32
58596905300a765934307e43479e6d8493f88cf8,49,486,26,0,3643,207886,794,2279,38
84ed742c2ecda9f3960575b92ce84796d6061906,0,2868,1,0,126,5306,20,0,107
8964838cb60e31c13fda81e10fa75f476e10a126,92,227,1,0,12,21246,10,2,29
6fce530540e2e3534f723d6a3e4b52212a22f5c1,64,1919,7,0,950,44688,165,2154,80
1e5cae3487312a7c06abed2f4a4c2f494ce1e428,94,121,12,0,1818,435684,493,933,9
a899f63b436aa9d06141bb5ea8edc69f32cb8eb9,0,435,1,0,90,1073,13,0,5
8d5fc8de8f5e05b1911c4dac9826e64575c97e22,178,847,1,0,260,17123,55,0,128
2e2414231b6c9c8e707d48c3820ceea0e12dc3c7,45,1166,3,0,2978,70940,184,38,12
c416071f485c1d220792c56682cd09a5443eced1,0,797,5,0,1432,110620,250,25,21
bc6afc8a0406620d51bf897f5cd1114d0edf13b5,84,50,3,0,145,2884,40,0,0
e3fc26b64a26bc22336ec3e95c540f0042dbce61,65,900,3,0,2978,70940,184,43,3
ce561aa8cc440dc957364b357de5b1167631df83,35,5990,3,0,189,49928,77,7318,202
1ccae6c27b5fa4607c8f844856a275be4f249eed,62,91,11,0,870,27322,178,1771,5
34e22b27e9ad9421f8fa541da3a28b9909823fc8,14,425,8,0,579,34817,174,9,40
c72710d10c615d005cc487036201edb86bc4af5c,56,724,4,0,740,94246,221,3225,27
09f13e1b176249e3da81b2b1f7dcc491b209041e,50,162,3,0,504,18625,113,671,10
40a8e9a91a059277fbe9cfd12e9877013024fc75,32,2,7,0,159,2734,48,0,0
bfc1c08ba71294ce5de5e131561cfa7594d64a0f,34,2223,3,0,393,60979,139,3701,133
fbf58d40593b7207d3d5fe9068681e22a05d9d87,79,481,2,0,224,11626,72,26,52
8f53f3d9b99b00a44b8a1554c01bde274dd1ebe9,49,9344,2,0,125,59663,73,15,1253
497e2542e47e4c0fe8b4051f13ea6e0c6fdd6bde,43,2396,6,0,1167,110784,306,5163,61
2fb8b5206489ae45cc2ce48f75369456f889eb2c,1,116,18,0,3265,178667,535,1832,3
7586bbbbc7f416c50b3784abc311eca3f45274e2,26,90,4,0,585,42096,132,316,4
5723cb47076163a974f002bdd03b001976ae8185,0,993,3,0,1664,137921,276,0,53
9624d6828f71842e44b9cfb9b8e7f2e3e943c44e,43,2613,18,0,7249,439171,1300,4123,101
8842ab0d4de4bfbff3c21923807f78d76f200fe1,125,194,3,0,552,11490,84,1655,5
6074dc981d7f07b866039a7b856d51ce966331bc,70,4,2,0,64,717,18,0,0
fbadde2bf6e2b657dc81c5453f920a979d6967f7,29,5179,1,0,216,92466,89,99,316
c27db32efa8137cbf654902f8f728f338e55cd1c,67,6892,17,0,895,655225,441,2519,321
22fd7931936b2e97a540c4505d563916d2ac3b7c,29,59,10,0,813,20609,227,952,4
49b774a1314c27624bae205988e62f5c3400ce45,156,458,6,0,424,31341,138,649,19
354453a39a9f304bcb77453f141b8fe97ccc09a9,38,1207,10,0,1162,33675,212,3193,42
d96217e83800bb2ccc3f7eb9cb321e569fbb7876,57,4853,2,0,193,35989,88,4692,362
36b332ac960663cea94abc5dbf515d831bfaff36,64,841,1,0,298,23953,72,243,53
08887c54dce839736cad12613a29c0315ea4262b,78,244,8,0,3075,155604,449,706,11
71575aee3308299f05b08c3d80505e9000dc8547,43,149,54,0,2242,94637,811,2302,5
02491dbfc15cc394c7b72f4a5211089ba4f044e8,52,319,15,0,3272,233062,667,787,10
46c6d692ce4a38789a183d67547b7679dcffec4a,8,459,3,0,1698,94221,259,971,7
ef160aee837c415ee3168efb0fe515ec2df5b2e8,70,5420,270,0,15977,2106160,3693,4174,194
b664449b0aac1f59ed721abd19b6bf17b0fc2db6,49,148,48,0,27821,1995166,3961,3512,6
2096ac46a56a1fbeb1f4008894c3ca62b34c4893,18,14144,1,0,154,46600,49,38,1613
083a8f455e8bdf3c9d72ac81c8215db5b09def68,61,237,3,0,1288,74273,224,0,12
84dda3af6c990fb7344ce32af95dcc60b7346f19,40,1154,18,0,4618,384038,843,1240,77
